date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2024-09-23;false;true;true;true;true;true;false;false;1727079300000000;04:15 - 04:30;false;false;false;1727080200000000;1727081100000000;true;15.0;30.0;04:45 - 05:00;04:30 - 04:45;false;false;-0.2;-0.2;0.8;0.7;-0.3;1.0;1.0;0.2;0.5;-0.4;1.0;Expansion;Strong Uptrend;false;false;1.5
2024-09-24;true;true;false;true;false;true;true;true;1727164200000000;03:45 - 04:00;true;true;true;1727164500000000;1727168100000000;false;5.0;65.0;04:45 - 05:00;03:45 - 04:00;false;;3.0;3.3;1.1;1.1;3.0;0.2;0.1;0.6;1.2;0.2;3.0;Medium Uptrend;Contraction;false;true;1.6
2024-09-25;false;true;true;true;true;true;false;false;1727252700000000;04:15 - 04:30;true;false;false;1727253000000000;1727253600000000;true;5.0;15.0;04:30 - 04:45;04:30 - 04:45;false;false;1.2;1.2;1.0;1.0;1.3;-1.3;0.8;0.7;0.8;-1.3;1.5;Strong Downtrend;Strong Uptrend;false;false;2.0
2024-09-26;true;true;true;true;true;true;false;false;1727336400000000;03:30 - 03:45;true;false;true;1727341800000000;1727353200000000;true;90.0;280.0;08:15 - 08:30;05:00 - 05:15;false;false;5.5;5.7;-0.5;-0.5;5.6;-0.5;0.3;0.8;5.3;-0.5;5.6;Strong Uptrend;Contraction;true;false;1.2
2024-09-27;true;true;false;true;false;true;true;true;1727424000000000;04:00 - 04:15;true;true;false;1727424600000000;1727428800000000;false;10.0;80.0;05:15 - 05:30;04:00 - 04:15;false;true;2.7;2.9;1.1;1.1;2.8;0.4;0.4;1.0;0.8;0.4;2.8;Strong Uptrend;Strong Uptrend;true;false;1.0
2024-09-30;true;false;true;false;true;true;true;true;1727684400000000;04:15 - 04:30;false;true;true;1727685000000000;1727691300000000;true;10.0;115.0;06:15 - 06:30;04:30 - 04:45;false;false;-2.8;-3.2;0.1;0.1;-2.9;0.1;0.0;0.7;-1.4;-2.9;0.8;Strong Downtrend;Contraction;false;true;1.8
2024-10-01;false;true;true;true;true;true;false;false;1727768100000000;03:30 - 03:45;true;false;false;1727768400000000;1727768400000000;false;5.0;5.0;03:30 - 03:45;03:30 - 03:45;false;false;1.3;1.3;1.2;1.2;1.3;-1.5;1.0;0.1;-1.0;-1.5;1.4;Strong Uptrend;Strong Downtrend;true;true;0.3
2024-10-02;true;true;true;true;true;true;false;false;1727854200000000;03:30 - 03:45;true;false;false;1727854500000000;1727854500000000;false;5.0;5.0;03:30 - 03:45;03:30 - 03:45;false;true;2.4;2.5;1.6;1.7;2.5;-4.8;0.7;1.0;-4.0;-4.8;2.5;Strong Uptrend;Strong Downtrend;true;true;0.4
2024-10-03;false;false;true;false;true;true;true;true;1727941200000000;03:30 - 03:45;false;true;true;1727941500000000;1727946000000000;false;5.0;80.0;05:00 - 05:15;03:45 - 04:00;false;true;-3.3;-4.7;-0.2;-0.5;-3.4;-0.2;0.5;0.2;-1.9;-3.4;0.3;Strong Uptrend;Contraction;false;false;1.8
2024-10-04;true;true;false;true;false;true;true;true;1728027000000000;03:30 - 03:45;true;true;true;1728027600000000;1728030300000000;false;10.0;55.0;04:15 - 04:30;03:30 - 03:45;;;2.9;3.5;1.5;1.6;3.0;0.9;0.3;1.0;2.3;0.9;3.0;Strong Uptrend;Strong Uptrend;false;false;1.8
