date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2023-11-10;false;false;true;false;true;true;true;true;1699587300000000;12:30 - 12:45;false;true;false;1699587900000000;1699588200000000;true;10.0;15.0;12:45 - 13:00;12:45 - 13:00;;;-0.2;-0.6;0.0;-0.3;-0.3;0.6;1.0;0.5;0.2;-0.3;0.9;Strong Downtrend;Strong Downtrend;false;false;0.3
2023-11-13;false;false;true;false;true;true;true;true;1699835400000000;09:30 - 09:45;false;true;true;1699835700000000;1699851900000000;false;5.0;275.0;14:00 - 14:15;09:30 - 09:45;;;-2.9;-2.9;-0.1;-0.1;-3.0;-0.1;1.0;0.0;-2.2;-3.0;0.0;Strong Uptrend;Contraction;true;true;0.5
2023-11-14;false;true;true;true;true;true;false;false;1699926000000000;10:30 - 10:45;true;false;false;;;false;;;;;;;;;;;1.1;-0.5;1.0;0.0;-0.0;-0.5;1.1;Strong Uptrend;Strong Uptrend;true;true;0.3
2023-11-15;false;true;true;true;true;true;false;false;1700008800000000;09:30 - 09:45;false;false;false;1700009400000000;1700011800000000;true;10.0;50.0;10:30 - 10:45;09:45 - 10:00;;;-2.2;-4.7;0.1;-0.5;-2.3;3.0;1.0;1.0;2.8;-2.3;3.0;Strong Uptrend;Medium Uptrend;true;true;0.2
2023-11-16;true;false;true;false;true;true;true;true;1700095200000000;09:30 - 09:45;false;true;true;1700096400000000;1700106300000000;true;20.0;185.0;12:45 - 13:00;10:00 - 10:15;;;-2.0;-2.5;0.2;0.2;-2.1;0.2;0.0;0.4;-1.0;-2.1;0.5;Medium Uptrend;Weak Uptrend;false;true;0.4
2023-11-17;false;true;false;true;false;true;true;true;1700181000000000;09:30 - 09:45;true;true;false;1700188800000000;1700193300000000;true;130.0;205.0;12:45 - 13:00;11:30 - 11:45;;;3.0;3.0;0.7;0.7;3.0;0.7;1.0;0.7;0.9;0.5;3.0;Contraction;Strong Uptrend;true;true;0.2
2023-11-20;true;true;true;true;true;true;false;false;1700441100000000;09:45 - 10:00;true;false;false;1700441400000000;1700441400000000;true;5.0;5.0;09:45 - 10:00;09:45 - 10:00;;;1.3;1.7;0.5;-0.2;1.3;-2.0;0.6;0.9;-1.1;-2.0;1.3;Strong Uptrend;Medium Downtrend;true;true;0.3
2023-11-21;false;false;true;false;true;true;true;true;1700528100000000;09:45 - 10:00;false;true;true;1700531100000000;1700533800000000;true;50.0;95.0;11:30 - 11:45;10:45 - 11:00;;;-1.1;-2.0;0.8;1.5;-1.2;1.0;0.5;0.0;-0.5;-1.2;1.0;Strong Uptrend;Contraction;false;true;0.3
2023-11-22;false;true;false;true;false;true;true;true;1700613000000000;09:30 - 09:45;true;true;false;1700614200000000;1700620500000000;true;20.0;125.0;11:30 - 11:45;09:45 - 10:00;;;2.3;3.8;0.8;0.8;2.3;0.6;0.8;0.8;1.0;0.6;2.3;Medium Downtrend;Weak Uptrend;false;true;0.2
2023-11-23;false;true;true;true;true;true;false;false;1700702100000000;10:15 - 10:30;true;false;false;1700702400000000;1700707800000000;false;5.0;95.0;11:45 - 12:00;10:15 - 10:30;;;2.0;2.0;1.0;1.0;2.0;-0.1;1.0;0.0;0.4;-0.1;2.0;Medium Downtrend;Strong Uptrend;false;true;0.5
