date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2024-10-11;false;true;true;true;true;true;false;false;1728608700000000;10:00 - 10:15;false;false;false;1728609600000000;1728610500000000;true;15.0;30.0;10:30 - 10:45;10:15 - 10:30;false;false;-0.6;-0.9;0.3;0.2;-0.7;3.2;0.5;0.1;2.5;-0.7;3.2;Strong Downtrend;Strong Uptrend;true;true;0.3
2024-10-14;false;true;true;true;true;true;false;false;1728866700000000;09:45 - 10:00;false;false;false;1728867000000000;1728867000000000;false;5.0;5.0;09:45 - 10:00;09:45 - 10:00;;;-0.3;-0.7;-0.2;-0.5;-0.4;5.9;0.3;0.2;4.2;-0.4;5.9;Strong Uptrend;Medium Uptrend;true;true;0.2
2024-10-15;true;false;true;false;true;true;true;true;1728952800000000;09:30 - 09:45;false;true;true;1728954300000000;1728964500000000;true;25.0;195.0;12:45 - 13:00;10:00 - 10:15;false;false;-1.4;-1.5;0.2;0.2;-1.5;0.2;0.5;0.9;-1.2;-1.5;0.9;Medium Uptrend;Medium Uptrend;false;true;0.2
2024-10-16;true;true;true;true;true;true;false;false;1729041600000000;10:15 - 10:30;true;true;false;1729042800000000;1729044300000000;true;20.0;45.0;11:00 - 11:15;10:30 - 10:45;false;true;2.0;2.1;1.0;1.0;2.0;0.4;0.1;0.2;1.0;-0.0;2.0;Contraction;Strong Uptrend;false;true;0.3
2024-10-17;false;true;true;true;true;true;false;false;1729125000000000;09:30 - 09:45;true;false;false;1729125300000000;1729125300000000;false;5.0;5.0;09:30 - 09:45;09:30 - 09:45;false;;2.0;2.4;1.7;1.8;2.1;-1.8;1.0;0.7;-1.3;-1.8;2.1;Contraction;Expansion;true;true;0.3
2024-10-18;false;true;true;true;true;true;false;false;1729212300000000;09:45 - 10:00;false;false;false;1729212600000000;1729212600000000;true;5.0;5.0;09:45 - 10:00;09:45 - 10:00;false;false;-0.2;-0.5;0.0;-0.1;-0.3;4.3;0.4;0.4;2.3;-0.3;4.3;Medium Uptrend;Expansion;true;true;0.3
2024-10-21;true;false;true;false;true;true;true;true;1729478700000000;11:45 - 12:00;false;true;false;1729479000000000;1729480200000000;false;5.0;25.0;12:00 - 12:15;11:45 - 12:00;;;-0.5;-0.7;-0.3;-0.4;-0.6;0.4;0.2;0.8;0.3;-0.6;0.9;Strong Uptrend;Strong Downtrend;false;true;0.8
2024-10-22;false;true;true;true;true;true;false;false;1729557000000000;09:30 - 09:45;false;false;false;1729557300000000;1729557300000000;false;5.0;5.0;09:30 - 09:45;09:30 - 09:45;false;false;-0.5;-0.6;-0.3;-0.5;-0.5;1.3;0.9;0.0;1.1;-0.7;1.3;Weak Downtrend;Weak Downtrend;true;true;0.6
2024-10-23;false;false;true;false;true;true;true;true;1729644600000000;09:45 - 10:00;false;true;false;1729648800000000;1729653900000000;true;70.0;155.0;12:15 - 12:30;11:00 - 11:15;false;false;-0.4;-0.6;0.6;0.6;-0.5;0.6;0.9;0.3;0.1;-0.5;0.6;Contraction;Medium Downtrend;false;true;0.9
2024-10-24;false;true;false;true;false;true;true;true;1729730700000000;09:45 - 10:00;true;true;true;1729731000000000;1729731900000000;false;5.0;20.0;10:00 - 10:15;09:45 - 10:00;false;false;3.6;3.6;1.9;1.9;3.7;1.9;0.9;0.3;3.4;0.2;3.7;Strong Uptrend;Strong Uptrend;false;false;0.6
2024-10-25;true;false;true;false;true;true;true;true;1729816200000000;09:30 - 09:45;false;true;true;1729826700000000;1729833300000000;true;175.0;285.0;14:15 - 14:30;12:15 - 12:30;false;false;-2.3;-3.5;0.6;0.7;-2.4;0.6;0.2;0.2;-1.7;-2.4;0.6;Strong Uptrend;Medium Uptrend;false;true;0.2
2024-10-28;false;false;true;false;true;true;true;true;1730076000000000;09:30 - 09:45;false;true;true;1730076300000000;1730089500000000;false;5.0;225.0;13:15 - 13:30;09:45 - 10:00;;;-2.7;-3.7;-0.7;-1.1;-2.8;-0.7;0.7;0.3;-2.5;-2.8;0.3;Contraction;Strong Uptrend;false;false;0.3
2024-10-29;false;true;true;true;false;true;true;false;1730166300000000;10:45 - 11:00;true;true;true;1730166600000000;1730168400000000;true;5.0;35.0;11:15 - 11:30;10:45 - 11:00;false;false;7.3;8.1;0.9;1.0;7.4;0.9;0.3;0.3;5.1;-0.0;7.4;Strong Uptrend;Weak Uptrend;true;true;0.2
2024-10-30;false;false;true;false;true;true;true;true;1730248200000000;09:30 - 09:45;false;true;true;1730248500000000;1730250600000000;false;5.0;40.0;10:00 - 10:15;09:30 - 09:45;false;false;-1.0;-1.0;-0.1;-0.1;-1.1;0.5;0.4;0.1;-0.2;-1.1;0.5;Strong Uptrend;Weak Downtrend;true;true;0.4
2024-10-31;false;true;true;true;true;true;false;false;1730334600000000;09:30 - 09:45;false;false;false;1730337300000000;1730338800000000;true;45.0;70.0;10:30 - 10:45;10:15 - 10:30;false;false;-0.6;-0.6;0.1;0.1;-0.7;1.2;0.9;0.1;0.0;-0.7;1.2;Medium Uptrend;Strong Downtrend;false;true;0.3
