;iDR_high;DR_high;DR_low;iDR_low;dr_price_range;close_min_past_idr;close_max_past_idr;high_past_idr;low_past_idr;last_close;closed_above_dr;closed_below_dr;dr_confirmed;DR_true;dr_upbreak_time;dr_downbreak_time;first_breakout_time;first_breakout_time_seconds;dr_up_day;price_outside_dr_eod;dr_profit_points;max_retracement_time;max_retracement_value;max_retracement_time_seconds;retracement_into_dr;retracement_into_dr_points;retracement_into_idr;retracement_into_idr_points;breakout_window;expantion_level;retracement_level
2023-08-07;15433.5;15473.25;15357.0;15382.75;116.25;15342.75;15495.5;15497.75;15334.25;15429.75;True;True;True;False;2023-08-07 15:55:00-04:00;2023-08-07 11:15:00-04:00;11:15:00;40500.0;False;False;-72.75;11:25:00;15371.5;41100;True;14.5;False;-11.25;11:00 - 11:30;-0.75;-0.25
2023-08-08;15379.0;15379.5;15244.0;15257.5;135.5;15222.75;15392.25;15395.0;15218.0;15386.5;True;True;True;False;2023-08-08 21:10:00-04:00;2023-08-08 10:55:00-04:00;10:55:00;39300.0;False;False;-142.5;11:35:00;15271.0;41700;True;27.0;True;13.5;10:30 - 11:00;-0.25;0.0
2023-08-09;15361.0;15368.5;15257.25;15264.25;111.25;15160.5;15297.5;15306.5;15146.5;15219.25;False;True;True;True;;2023-08-09 10:50:00-04:00;10:50:00;39000.0;False;True;38.0;10:55:00;15233.25;39300;False;-24.0;False;-31.0;10:30 - 11:00;-1.0;-0.5
2023-08-10;15430.0;15442.25;15273.25;15318.75;169.0;15144.25;15373.75;15417.0;15136.0;15241.0;False;True;True;True;;2023-08-10 11:20:00-04:00;11:20:00;40800.0;False;True;32.25;11:35:00;15326.25;41700;True;53.0;True;7.5;11:00 - 11:30;-1.5;0.0
2023-08-11;15163.0;15174.25;15052.0;15069.75;122.25;15041.0;15147.5;15165.5;15037.25;15103.75;False;True;True;True;;2023-08-11 11:30:00-04:00;11:30:00;41400.0;False;False;-51.75;11:35:00;15068.75;41700;True;16.75;False;-1.0;11:30 - 12:00;-0.25;-0.25
2023-08-14;15162.75;15173.0;15035.0;15067.25;138.0;15185.0;15318.75;15335.0;15172.25;15308.75;True;False;True;True;2023-08-14 10:35:00-04:00;;10:35:00;38100.0;True;True;135.75;12:20:00;15172.25;44400;True;0.75;False;-9.5;10:30 - 11:00;2.5;1.25
2023-08-15;15258.0;15259.25;15113.0;15121.0;146.25;15080.75;15195.5;15208.0;15074.75;15108.5;False;True;True;True;;2023-08-15 15:25:00-04:00;15:25:00;55500.0;False;True;4.5;15:30:00;15103.5;55800;False;-9.5;False;-17.5;15:00 - 15:30;-0.25;-0.25
2023-08-16;15136.0;15144.0;15051.0;15059.75;93.0;14901.0;15132.25;15141.75;14887.5;14926.5;False;True;True;True;;2023-08-16 11:55:00-04:00;11:55:00;42900.0;False;True;124.5;14:30:00;15087.0;52200;True;36.0;True;27.25;11:30 - 12:00;-2.0;0.25
2023-08-17;14994.25;15007.5;14882.0;14887.25;125.5;14734.75;14952.0;14957.5;14731.5;14787.5;False;True;True;True;;2023-08-17 10:35:00-04:00;10:35:00;38100.0;False;True;94.5;13:00:00;14957.5;46800;True;75.5;True;70.25;10:30 - 11:00;-1.25;0.5
2023-08-18;14680.0;14697.0;14609.25;14638.75;87.75;14664.25;14793.5;14802.75;14648.0;14744.0;True;False;True;True;2023-08-18 11:00:00-04:00;;11:00:00;39600.0;True;True;47.0;11:40:00;14648.0;42000;True;49.0;True;32.0;11:00 - 11:30;3.75;0.25
2023-08-21;14921.75;14932.5;14805.5;14830.5;127.0;14795.25;15005.5;15013.75;14788.75;14966.75;True;True;True;False;2023-08-21 13:30:00-04:00;2023-08-21 11:40:00-04:00;11:40:00;42000.0;False;False;-161.25;11:45:00;14813.25;42300;True;7.75;False;-17.25;11:30 - 12:00;-0.25;-0.25
2023-08-22;15091.5;15092.25;14997.75;15005.0;94.5;14935.5;15047.25;15055.0;14932.0;15019.5;False;True;True;True;;2023-08-22 10:35:00-04:00;10:35:00;38100.0;False;False;-21.75;11:00:00;15055.0;39600;True;57.25;True;50.0;10:30 - 11:00;-0.75;0.5
2023-08-23;15134.25;15145.0;14999.5;15009.25;145.5;15132.0;15365.0;15372.75;15124.25;15365.0;True;False;True;True;2023-08-23 10:40:00-04:00;;10:40:00;38400.0;True;True;220.0;10:45:00;15150.75;38700;False;-5.75;False;-16.5;10:30 - 11:00;2.75;1.25
2023-08-24;15335.5;15339.75;15071.75;15073.25;268.0;14824.25;15074.75;15082.0;14817.0;14855.5;False;True;True;True;;2023-08-24 10:40:00-04:00;10:40:00;38400.0;False;True;216.25;10:50:00;15072.75;39000;True;1.0;False;-0.5;10:30 - 11:00;-0.75;-0.25
2023-08-25;14999.0;15048.75;14870.0;14887.5;178.75;14759.75;15018.25;15027.0;14751.75;14972.25;False;True;True;True;;2023-08-25 10:35:00-04:00;10:35:00;38100.0;False;False;-102.25;10:40:00;14893.25;38400;True;23.25;True;5.75;10:30 - 11:00;-1.0;0.0
2023-08-28;15103.25;15126.5;15004.5;15037.25;122.0;14996.0;15110.5;15117.0;14983.5;15094.5;False;True;True;True;;2023-08-28 11:40:00-04:00;11:40:00;42000.0;False;False;-90.0;11:45:00;15005.5;42300;True;1.0;False;-31.75;11:30 - 12:00;-0.5;-0.5
2023-08-29;15283.75;15297.5;15062.75;15091.5;234.75;15299.0;15456.0;15459.5;15289.0;15456.0;True;False;True;True;2023-08-29 10:35:00-04:00;;10:35:00;38100.0;True;True;158.5;10:55:00;15289.0;39300;True;8.5;False;-5.25;10:30 - 11:00;1.75;1.25
2023-08-30;15505.5;15507.25;15375.0;15406.25;132.25;15435.25;15518.75;15522.75;15426.75;15509.5;True;False;True;True;2023-08-30 12:15:00-04:00;;12:15:00;44100.0;True;True;2.25;12:35:00;15490.0;45300;True;17.25;True;15.5;12:00 - 12:30;1.0;1.0
2023-08-31;15585.5;15594.25;15488.75;15515.5;105.5;15497.25;15604.75;15606.75;15493.0;15552.25;True;False;True;True;2023-08-31 10:35:00-04:00;;10:35:00;38100.0;True;False;-42.0;10:40:00;15587.0;38400;True;7.25;False;-1.5;10:30 - 11:00;1.25;1.25
2023-09-01;15633.0;15652.75;15498.75;15517.5;154.0;15458.0;15547.0;15564.25;15454.0;15511.25;False;True;True;True;;2023-09-01 10:55:00-04:00;10:55:00;39300.0;False;False;-12.5;11:25:00;15527.75;41100;True;29.0;True;10.25;10:30 - 11:00;-0.5;0.0
2023-09-04;15576.0;15578.75;15548.5;15549.75;30.25;15493.75;15542.0;15543.25;15488.0;15498.25;False;True;True;True;;2023-09-04 10:35:00-04:00;10:35:00;38100.0;False;True;50.25;10:45:00;15543.25;38700;False;-5.25;False;-6.5;10:30 - 11:00;-2.0;-0.25
2023-09-05;15510.5;15523.5;15442.75;15446.0;80.75;15494.5;15585.25;15586.75;15477.0;15500.0;True;False;True;True;2023-09-05 10:50:00-04:00;;10:50:00;39000.0;True;False;-23.5;11:35:00;15503.0;41700;True;20.5;True;7.5;10:30 - 11:00;2.0;1.0
2023-09-06;15499.5;15514.25;15385.5;15386.5;128.75;15319.75;15416.0;15422.75;15310.5;15377.0;False;True;True;True;;2023-09-06 10:55:00-04:00;10:55:00;39300.0;False;True;8.5;11:35:00;15399.0;41700;True;13.5;True;12.5;10:30 - 11:00;-0.5;0.0
2023-09-07;15227.25;15241.0;15157.5;15166.5;83.5;15204.75;15484.0;15484.75;15188.25;15466.0;True;False;True;True;2023-09-07 10:40:00-04:00;;10:40:00;38400.0;True;True;225.0;11:55:00;15197.5;42900;True;43.5;True;29.75;10:30 - 11:00;5.0;0.75
2023-09-08;15576.25;15586.5;15466.0;15527.75;120.5;15460.5;15562.0;15566.0;15451.25;15510.25;False;True;True;True;;2023-09-08 15:00:00-04:00;15:00:00;54000.0;False;False;-44.25;15:10:00;15473.5;54600;True;7.5;False;-54.25;15:00 - 15:30;-1.25;-1.25
2023-09-11;15630.75;15646.75;15537.25;15545.25;109.5;15554.5;15694.75;15696.0;15543.25;15648.5;True;False;True;True;2023-09-11 13:30:00-04:00;;13:30:00;48600.0;True;True;1.75;13:35:00;15642.75;48900;True;4.0;False;-12.0;13:30 - 14:00;1.5;1.25
2023-09-12;15650.25;15658.75;15580.25;15582.5;78.5;15485.5;15611.5;15615.75;15483.25;15493.75;False;True;True;True;;2023-09-12 10:35:00-04:00;10:35:00;38100.0;False;True;86.5;13:20:00;15615.75;48000;True;35.5;True;33.25;10:30 - 11:00;-1.25;0.25
2023-09-13;15553.0;15561.5;15454.25;15467.0;107.25;15511.75;15615.0;15619.75;15508.25;15598.0;True;False;True;True;2023-09-13 11:00:00-04:00;;11:00:00;39600.0;True;True;36.5;11:50:00;15537.5;42600;True;24.0;True;15.5;11:00 - 11:30;1.5;1.0
2023-09-14;15620.0;15638.75;15531.0;15538.5;107.75;15612.5;15709.25;15714.5;15597.0;15701.25;True;False;True;True;2023-09-14 10:40:00-04:00;;10:40:00;38400.0;True;True;62.5;11:40:00;15627.0;42000;True;11.75;False;-7.0;10:30 - 11:00;2.0;1.25
2023-09-15;15610.5;15627.5;15469.25;15484.25;158.25;15362.25;15495.25;15506.75;15356.75;15383.0;False;True;True;True;;2023-09-15 10:50:00-04:00;10:50:00;39000.0;False;True;86.25;12:50:00;15468.0;46200;False;-1.25;False;-16.25;10:30 - 11:00;-0.75;-0.25
2023-09-18;15427.5;15439.5;15343.0;15396.25;96.5;15378.0;15455.75;15461.0;15364.5;15410.25;True;False;True;True;2023-09-18 11:40:00-04:00;;11:40:00;42000.0;True;False;-29.25;12:15:00;15426.0;44100;True;13.5;True;1.5;11:30 - 12:00;1.75;1.0
2023-09-19;15355.25;15373.25;15273.0;15277.75;100.25;15253.5;15397.75;15408.0;15248.5;15370.0;True;True;True;False;2023-09-19 13:50:00-04:00;2023-09-19 10:35:00-04:00;10:35:00;38100.0;False;False;-97.0;10:40:00;15269.5;38400;False;-3.5;False;-8.25;10:30 - 11:00;-0.25;-0.25
