date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_low;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_dr;expansion_window;retracement_window;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level
2023-11-14;1.07013;1.06997;1.07012;1.06998;1.06998;1.07012;true;0.00016;1.07022;1.06937;1.07019;1.06939;1.0694299999999999;true;true;true;true;true;false;false;1699920300000000;1699922700000000;1699920300000000;09:00 - 09:30;true;false;false;1.07001;1.07017;1.06937;1.07022;1.07012;1.07022;1699920600000000;1699920600000000;true;09:00 - 09:30;09:00 - 09:30;1.5;1.0;1.6;-3.7;0.1;1.0;-3.3;-3.7;1.6
2023-11-15;1.08824;1.08775;1.08819;1.08776;1.08819;1.08776;false;0.00049;1.08836;1.08655;1.08836;1.08665;1.08779;true;true;true;true;true;false;false;1700021400000000;1700006400000000;1700006400000000;09:00 - 09:30;false;false;false;;;1.08655;1.08836;1.08763;1.08655;1700006700000000;1700009100000000;false;09:30 - 10:00;09:00 - 09:30;-2.4;-0.3;-2.5;1.2;0.8;0.0;0.0;-2.5;1.2
2023-11-16;1.08543;1.08478;1.08542;1.08481;1.08481;1.08542;true;0.00065;1.08558;1.08299;1.08552;1.08319;1.08384;true;true;true;true;true;false;false;1700096100000000;1700097000000000;1700096100000000;09:30 - 10:00;true;false;false;1.08507;1.08555;1.08299;1.08558;1.08525;1.08558;1700096400000000;1700096400000000;true;10:00 - 10:30;10:00 - 10:30;1.2;0.8;1.3;-2.7;0.1;1.0;-1.4;-2.7;1.3
2023-11-17;1.08556;1.08527;1.08556;1.0853;1.08556;1.0853;false;0.00029;1.0856999999999999;1.08485;1.08565;1.08486;1.08495;true;true;true;true;true;false;false;1700182800000000;1700180100000000;1700180100000000;09:00 - 09:30;false;false;true;1.08525;1.08557;1.08485;1.0856999999999999;1.0856999999999999;1.08485;1700191200000000;1700198400000000;true;14:00 - 14:30;12:00 - 12:30;-1.4;1.4;-1.5;1.4;1.0;0.1;-1.2;-1.5;1.4
2023-11-20;1.09096;1.09054;1.09087;1.09054;1.0907;1.09054;false;0.00042;1.09358;1.08974;1.09345;1.08985;1.09262;true;true;true;true;true;false;false;1700445900000000;1700438400000000;1700438400000000;09:00 - 09:30;false;false;false;;;1.08974;1.09358;1.09033;1.08974;1700438700000000;1700440200000000;false;09:30 - 10:00;09:00 - 09:30;-1.9;-0.6;-2.0;7.2;0.3;0.0;4.9;-2.0;7.2
2023-11-21;1.09468;1.09439;1.09456;1.0944099999999999;1.09452;1.09446;false;0.00029;1.09652;1.0942;1.09648;1.0942;1.09614;true;true;true;true;true;false;false;1700526600000000;1700524800000000;1700524800000000;09:00 - 09:30;false;false;false;;;1.0942;1.09652;1.0944099999999999;1.0942;1700525100000000;1700525100000000;true;09:00 - 09:30;09:00 - 09:30;-0.6;0.0;-0.7;7.3;0.4;0.2;6.0;-0.7;7.3
2023-11-22;1.09185;1.09144;1.09185;1.09146;1.0916;1.09171;true;0.00041;1.09229;1.09055;1.09202;1.09065;1.09065;true;true;true;true;true;false;false;1700614500000000;1700616000000000;1700614500000000;09:30 - 10:00;true;false;false;1.09143;1.09189;1.09055;1.09229;1.09175;1.09229;1700615400000000;1700615700000000;true;10:00 - 10:30;10:00 - 10:30;2.0;0.8;2.1;-2.1;0.4;0.7;-1.9;-2.1;2.1
2023-11-23;1.08883;1.08862;1.0888;1.08869;1.08869;1.08879;true;0.00021;1.0905799999999999;1.08878;1.09055;1.08879;1.09026;true;false;true;false;true;true;true;1700697600000000;;1700697600000000;09:00 - 09:30;true;true;true;;;1.08879;1.0905799999999999;1.08879;1.0905799999999999;1700698200000000;1700711100000000;true;12:30 - 13:00;09:00 - 09:30;9.3;0.9;9.4;0.9;0.4;0.9;7.9;0.8;9.4
2023-11-24;1.0905799999999999;1.09036;1.09053;1.09038;1.09048;1.09038;false;0.00022;1.09104;1.0895;1.09095;1.08952;1.09063;true;true;true;true;true;false;false;1700786400000000;1700784300000000;1700784300000000;09:00 - 09:30;false;false;false;1.09038;1.09053;1.0895;1.09104;1.09104;1.0895;1700788200000000;1700795100000000;true;12:00 - 12:30;10:00 - 10:30;-3.9;3.0;-4.0;3.0;0.5;0.0;1.2;-4.0;3.0
2023-11-27;1.09426;1.09384;1.09416;1.09394;1.09416;1.09395;false;0.00042;1.09498;1.09267;1.09494;1.09287;1.09462;true;true;true;true;true;false;false;1701048300000000;1701043200000000;1701043200000000;09:00 - 09:30;false;false;false;;;1.09267;1.09498;1.094;1.09267;1701043500000000;1701046800000000;true;10:00 - 10:30;09:00 - 09:30;-2.7;0.3;-2.8;2.7;0.7;0.2;1.8;-2.8;2.7
